station,startDateTimeUTC
EGLC,2012-04-21 00:01:00+01:00
EGLC,2012-04-07 00:01:00+01:00
EGLC,2012-03-31 00:01:00+01:00
EGLC,2012-03-13 19:46:00+00:00
EGLC,2012-03-24 00:01:00+00:00
EGLC,2012-03-17 00:01:00+00:00
EGLC,2012-03-10 00:01:00+00:00
EGLC,2012-03-03 00:01:00+00:00
EGLC,2012-02-28 19:46:00+00:00
EGLC,2012-02-25 00:01:00+00:00
EGLC,2012-02-21 19:46:00+00:00
EGLC,2012-02-18 00:01:00+00:00
EGLC,2012-02-11 00:01:00+00:00
EGLC,2012-01-21 00:01:00+00:00
EGLC,2012-01-28 00:01:00+00:00
EGLC,2012-01-14 00:01:00+00:00
EGLC,2012-01-07 00:01:00+00:00
EGLC,2012-01-02 00:01:00+00:00
EGLC,2011-12-31 00:01:00+00:00
EGLC,2011-12-17 00:01:00+00:00
EGLC,2011-12-10 00:01:00+00:00
EGLC,2011-12-03 00:01:00+00:00
EGLC,2011-11-29 19:46:00+00:00
EGLC,2011-11-26 00:01:00+00:00
EGLC,2011-11-19 00:01:00+00:00
EGLC,2011-11-12 00:01:00+00:00
EGLC,2011-11-01 12:01:00+00:00
EGLC,2011-11-05 12:01:00+00:00
EGLC,2011-10-29 00:01:00+01:00
EGLC,2011-10-11 19:46:00+01:00
EGLC,2011-10-04 00:01:00+01:00
EGLC,2011-09-24 00:01:00+01:00
EGLC,2011-09-27 00:01:00+01:00
EGLC,2011-09-10 00:01:00+01:00
EGLC,2011-09-13 00:01:00+01:00
EGLC,2011-08-29 00:01:00+01:00
EGLC,2011-08-27 00:01:00+01:00
EGLC,2011-08-23 00:01:00+01:00
EGLC,2011-08-20 00:01:00+01:00
EGLC,2011-04-09 00:01:00+01:00
EGLC,2011-04-30 00:01:00+01:00
EGLC,2011-04-23 00:01:00+01:00
EGLC,2011-04-16 00:01:00+01:00
EGLC,2011-04-02 00:01:00+01:00
EGLC,2011-04-25 00:01:00+01:00
EGLC,2011-03-26 00:01:00+00:00
EGLC,2011-03-05 00:01:00+00:00
EGLC,2011-03-12 00:01:00+00:00
EGLC,2011-03-19 00:01:00+00:00
EGLC,2011-02-26 00:01:00+00:00
EGLC,2011-02-19 00:01:00+00:00
EGLC,2011-02-12 00:01:00+00:00
EGLC,2011-02-05 00:01:00+00:00
EGLC,2011-01-22 00:01:00+00:00
EGLC,2011-01-29 00:01:00+00:00
EGLC,2011-01-01 00:01:00+00:00
EGLC,2011-01-08 00:01:00+00:00
EGLC,2011-01-15 00:01:00+00:00
EGLC,2010-12-04 00:01:00+00:00
EGLC,2010-12-11 00:01:00+00:00
EGLC,2010-12-18 00:01:00+00:00
EGLC,2010-12-27 00:01:00+00:00
EGLC,2010-11-27 00:01:00+00:00
EGLC,2010-11-23 00:01:00+00:00
EGLC,2010-11-20 00:01:00+00:00
EGLC,2010-11-13 00:01:00+00:00
EGLC,2010-11-09 00:01:00+00:00
EGLC,2010-11-06 00:01:00+00:00
EGLC,2010-10-09 00:01:00+01:00
EGLC,2010-10-23 00:01:00+01:00
EGLC,2010-10-25 00:01:00+01:00
EGLC,2010-10-30 00:01:00+01:00
EGLC,2010-09-21 00:01:00+01:00
EGLC,2010-09-25 00:01:00+01:00
EGLC,2010-09-18 00:01:00+01:00
EGLC,2010-09-28 00:01:00+01:00
EGLC,2010-09-07 00:01:00+01:00
EGLC,2010-09-04 00:01:00+01:00
EGLC,2010-08-24 00:01:00+01:00
EGLC,2010-08-30 00:01:00+01:00
EGLC,2010-08-21 00:01:00+01:00
EGLC,2010-04-13 00:01:00+01:00
EGLC,2010-04-10 00:01:00+01:00
EGLC,2010-04-17 00:01:00+01:00
EGLC,2010-04-24 00:01:00+01:00
EGLC,2010-04-05 00:01:00+01:00
EGLC,2010-04-03 00:01:00+01:00
EGLC,2010-03-29 00:01:00+01:00
EGLC,2010-03-27 00:01:00+00:00
EGLC,2010-03-23 00:01:00+00:00
EGLC,2010-03-18 00:01:00+00:00
EGLC,2010-03-13 00:01:00+00:00
EGLC,2010-03-16 00:01:00+00:00
EGLC,2010-03-02 00:01:00+00:00
EGLC,2010-03-06 00:01:00+00:00
EGLC,2010-02-06 00:01:00+00:00
EGLC,2010-02-13 00:01:00+00:00
EGLC,2010-02-20 00:01:00+00:00
EGLC,2010-02-02 00:01:00+00:00
EGLC,2009-12-05 00:01:00+00:00
EGLC,2009-12-12 00:01:00+00:00
EGLC,2009-11-28 00:01:00+00:00
EGLC,2009-11-21 00:01:00+00:00
EGLC,2009-11-17 00:01:00+00:00
EGLC,2009-11-07 00:01:00+00:00
EGLC,2009-11-24 00:01:00+00:00
EGLC,2009-10-24 00:01:00+01:00
EGLC,2009-10-27 00:01:00+00:00
EGLC,2009-10-17 00:01:00+01:00
EGLC,2009-10-12 00:01:00+01:00
EGLC,2009-10-10 00:01:00+01:00
EGLC,2009-09-26 00:01:00+01:00
EGLC,2009-09-22 00:01:00+01:00
EGLC,2009-09-05 00:01:00+01:00
EGLC,2009-09-19 00:01:00+01:00
EGLC,2009-08-18 00:01:00+01:00
EGLC,2009-08-15 00:01:00+01:00
EGLC,2009-08-25 00:01:00+01:00
EGLC,2009-08-22 00:01:00+01:00
EGLC,2009-04-18 15:01:00+01:00
EGLC,2009-04-04 15:01:00+01:00
EGLC,2009-04-13 15:01:00+01:00
EGLC,2009-04-25 15:01:00+01:00
EGLC,2009-04-11 15:01:00+01:00
EGLC,2009-03-14 15:01:00+00:00
EGLC,2009-03-28 15:01:00+00:00
EGLC,2009-03-21 15:01:00+00:00
EGLC,2009-03-07 15:01:00+00:00
EGLC,2009-02-07 15:01:00+00:00
EGLC,2009-02-28 15:01:00+00:00
EGLC,2009-02-14 15:01:00+00:00
EGLC,2009-02-21 15:01:00+00:00
EGLC,2009-01-03 15:01:00+00:00
EGLC,2009-01-10 15:01:00+00:00
EGLC,2009-01-24 15:01:00+00:00
EGLC,2009-01-31 15:01:00+00:00
EGLC,2009-01-17 15:01:00+00:00
EGLC,2008-12-13 15:01:00+00:00
EGLC,2008-12-20 15:01:00+00:00
EGLC,2008-12-09 19:46:00+00:00
EGLC,2008-12-27 15:01:00+00:00
EGLC,2008-12-06 15:01:00+00:00
EGLC,2008-11-15 15:01:00+00:00
EGLC,2008-11-22 19:46:00+00:00
EGLC,2008-11-29 15:01:00+00:00
